nonCS.043	IEEE INTERNET COMPUT
nonCS.044	IEEE Software
nonCS.045	IEEE Transactions on Evolutionary Computation
nonCS.045	IEEE T EVOLUT COMPUT
nonCS.046	IEEE Transactions on Fuzzy Systems
nonCS.046	IEEE T FUZZY SYST
nonCS.047	IEEE Transactions on Information Forensics and Security
nonCS.047	IEEE TRANS INFORM FORENSICS SECUR
nonCS.048	IEEE Transactions on Learning Technologies
nonCS.048	IEEE TRANS LEARN TECHNOL
nonCS.049	IEEE Transactions on Mobile Computing
nonCS.049	IEEE TRANS MOB COMPUT
nonCS.050	IEEE Transactions on Neural Networks and Learning Systems
nonCS.050	IEEE TRANS NEURAL NETW LEARN SYS
nonCS.051	IEEE Transactions on Software Engineering
nonCS.051	IEEE T SOFTWARE ENG
nonCS.052	Information and Software Technology
nonCS.052	INFORM SOFTWARE TECH
nonCS.053	Information Processing Letters
nonCS.053	INFORM PROCESS LETT
nonCS.054	Information Services & Use
nonCS.054	INFORM SERV
nonCS.055	Innovations in Systems and Software Engineering
nonCS.055	INNOV SYS SOFTW ENG
nonCS.056	International Institute for Advanced Studies in Systems Research and Cybernetics
nonCS.056	INT INST ADV STUD SYS RES CYBERN
nonCS.057	International Journal of Advanced Computer Technology
nonCS.057	INT J ADV COMPUT TECHNOL
nonCS.058	International Journal of Applied Mathematics and Computer Science
nonCS.058	INT J APPL MATH COMPUT SCI
nonCS.059	International Journal of Computational Geometry and Applications
nonCS.059	INT J COMPUT GEOM APPL
nonCS.060	International Journal of Computational Intelligence and Applications
nonCS.060	INT J COMPUT INTELL APPL
nonCS.061	International Journal of Computational Methods
nonCS.061	INT J COMPUT METH
nonCS.062	International Journal of Computer Assisted Radiology and Surgery
nonCS.062	INT J COMPUT ASSIST RADIOL SURG
nonCS.063	International Journal of Computer Processing of Languages
nonCS.063	INT J COMPUT PROC LANG
nonCS.064	International Journal of Computer Vision
nonCS.064	INT J COMPUT VISION
nonCS.065	International Journal of Cooperative Information Systems
nonCS.065	INT J COOP INF SYST
nonCS.066	International Journal of Creative Computing
nonCS.066	INT J CREA COMPUT
nonCS.067	International Journal of Data Warehousing and Mining
nonCS.067	INT J DATA WHS MIN
nonCS.068	International Journal of e-Collaboration
nonCS.068	INT J E COLLAB
nonCS.069	International Journal of Foundations of Computer Science
nonCS.069	INT J FOUND COMPUT SCI
nonCS.070	International Journal of Image and Graphics
nonCS.070	INT J IMG GRAPH
nonCS.071	International Journal of Information Acquisition
nonCS.071	INT J INFORM ACQUIS
nonCS.072	International Journal of Information Technology & Decision Making
nonCS.072	INT J INFORM TECHNOL DEC MAKE
nonCS.073	International Journal of Innovation and Technology Management
nonCS.073	INT J INNOV TECHNOL MANAGE
nonCS.074	International Journal of Intelligent Information Technologies
nonCS.074	INT J INTELL INFORM TECHNOL
nonCS.075	International Journal of Mathematics and Computer Science
nonCS.075	INT J MATH COMPUT SCI
nonCS.076	International Journal of Mobile and Blended Learning
nonCS.076	INT J MOB BLEND LEARN
nonCS.077	International Journal of Pattern Recognition and Artificial Intelligence
nonCS.077	INT J PATTERN RECOGN
nonCS.078	International Journal of Shape Modeling
nonCS.078	INT J SHAPE MODEL
nonCS.079	International Journal of Software and Informatics
nonCS.079	INT J SOFTW INFORM
nonCS.080	International Journal of Software Engineering and Knowledge Engineering
nonCS.080	INT J SOFTW ENG KNOW
nonCS.081	International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems
nonCS.081	INT J UNCERTAIN FUZZ KNOWL BASE SYS
nonCS.082	International Journal of Wavelets, Multiresolution and Information Processing
nonCS.082	INT J WAVELETS MULTI INFORM PROC
nonCS.083	International Journal of Web Services Research
nonCS.083	INT J SERV RES
nonCS.084	International Journal of Wireless Information Networks
nonCS.084	INT J WIREL INFORM NETW
nonCS.085	International Journal on Semantic Web and Information Systems
nonCS.085	INT J SEMANTIC INFORM SYS
nonCS.086	Journal of Advances in Information Fusion
nonCS.086	J ADV INFORM FUSION
nonCS.087	Journal of Artificial Intelligence Research
nonCS.087	J ARTIF INTELL RES
nonCS.088	Journal of Automata, Languages and Combinatorics
nonCS.088	J AUTOMATA LANG COMBIN
nonCS.089	Journal of Automated Reasoning
nonCS.089	J AUTOM REASONING
nonCS.090	Journal of Bioinformatics and Computational Biology
nonCS.090	J BIOINFORM COMPUT BIOL
nonCS.091	Journal of Cases on Information Technology
nonCS.091	J CASE INFORM TECHNOL
nonCS.092	Journal of Chemical Information and Modeling
nonCS.092	J CHEM INFORM MODEL
nonCS.093	Journal of Cheminformatics
nonCS.093	J CHEMINFORM
nonCS.094	Journal of Circuits, Systems, and Computers
nonCS.094	J CIRC SYS COMPUT
nonCS.095	Journal of Computational Geometry
nonCS.095	J COMPUT GEOM
nonCS.096	Journal of Computer and System Sciences
nonCS.096	J COMPUT SYST SCI
nonCS.097	Journal of Computer-Mediated Communication
nonCS.097	J COMPUT MEDIATED COMMUN
nonCS.098	Journal of Computing Sciences in Colleges
nonCS.098	J COMPUT SCI COLG
nonCS.099	Journal of Cryptology
nonCS.099	J CRYPTOL
nonCS.100	Journal of Database Management
nonCS.100	J DB MANAGE
